 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 137272  60852 1032192    0    0     0     0 9626 1383 10 62 28  0  0
 1  0    256 137272  60860 1032208    0    0     0    92 12278 1355  6 61 33  0  0
 0  0    256 137272  60860 1032216    0    0     0     0 6176 1208  3 43 54  0  0
 9  0    256 137272  60860 1032228    0    0     0     0 12001 1293  5 62 33  0  0
 3  0    256 137272  60860 1032240    0    0     0     4 10848 1291  6 68 26  0  0
 1  0    256 137272  60860 1032248    0    0     0     0 10578 1268  6 56 38  0  0
 1  0    256 137272  60868 1032260    0    0     0   104 8821 1301  5 51 44  0  0
 1  0    256 137272  60868 1032272    0    0     0     0 6855 1209  4 44 52  0  0
 1  0    256 137272  60868 1032280    0    0     0     0 6491 1168  6 37 57  0  0
 2  0    256 137272  60868 1032292    0    0     0     0 7789 1166  5 42 53  0  0
 1  0    256 137272  60868 1032300    0    0     0     4 7075 1099  3 42 55  0  0
 3  0    256 136152  60876 1032312    0    0     0    84 7925 1231  8 44 47  0  0
 0  0    256 136152  60876 1032324    0    0     0     0 7686 1201  7 45 48  0  0
 1  0    256 136152  60876 1032332    0    0     0     0 9319 1260  6 50 44  0  0
 2  0    256 136152  60876 1032348    0    0     0     0 6759 1132  7 40 53  0  0
 3  0    256 136152  60876 1032360    0    0     0     0 7857 1135  4 44 52  0  0
 1  0    256 136152  60884 1032372    0    0     0   108 8792 1269  5 47 49  0  0
 2  0    256 136152  60884 1032380    0    0     0     0 7780 1206  9 38 53  0  0
 1  0    256 136152  60884 1032392    0    0     0     0 8758 1233  6 47 48  0  0
 2  0    256 136152  60884 1032400    0    0     0     0 7276 1130  4 43 53  0  0
 0  0    256 136152  60884 1032412    0    0     0     0 7407 1061  4 38 58  0  0
 1  0    256 136152  60892 1032424    0    0     0    84 6088 1164  6 34 60  0  0
 0  0    256 136152  60892 1032432    0    0     0     4 8900 1212  6 44 50  0  0
 1  0    256 136152  60892 1032444    0    0     0     0 6204 1169  5 36 59  0  0
 0  0    256 136152  60892 1032456    0    0     0     0 8596 1195  6 44 50  0  0
 0  0    256 136152  60892 1032464    0    0     0     0 8583 1110  5 42 53  0  0
 0  0    256 136152  60900 1032480    0    0     0   104 6424 1308  5 39 56  0  0
 0  0    256 136152  60900 1032488    0    0     0     0 8247 1313  6 42 52  0  0
 1  0    256 136152  60900 1032500    0    0     0     4 6795 1349  5 43 52  0  0
 2  0    256 136152  60900 1032512    0    0     0     0 5730 1308  5 34 61  0  0
 0  0    256 136152  60900 1032524    0    0     0     0 9124 1219  6 41 53  0  0
 1  0    256 136152  60908 1032536    0    0     0    84 7982 1604  7 46 47  0  0
 2  0    256 136152  60908 1032548    0    0     0     0 10945 1529  7 58 35  0  0
 0  0    256 136152  60908 1032556    0    0     0     0 7792 1375  8 45 47  0  0
 1  0    256 136152  60908 1032568    0    0     0     8 8121 1391  4 46 50  0  0
 1  0    256 136152  60908 1032580    0    0     0     0 5720 1275  5 35 60  0  0
 0  0    256 136152  60916 1032588    0    0     0   104 10910 1364  4 55 41  0  0
 2  0    256 136152  60916 1032600    0    0     0     0 7293 1367  6 46 48  0  0
 0  0    256 136152  60916 1032608    0    0     0     0 6374 1215  4 38 58  0  0
 5  0    256 136152  60916 1032624    0    0     0     0 10356 1360  8 56 36  0  0
 2  0    256 136152  60916 1032636    0    0     0     4 8449 1208  4 46 49  0  0
 2  0    256 136152  60924 1032644    0    0     0    88 7688 1155  4 47 50  0  0
 1  0    256 136152  60924 1032656    0    0     0     0 13037 1407  6 72 22  0  0
 0  0    256 136152  60924 1032676    0    0     0     0 5724 1248  6 41 53  0  0
 4  0    256 136152  60924 1032684    0    0     0     0 6502 1129  5 36 59  0  0
 1  0    256 136152  60924 1032688    0    0     0     0 8658 1214  8 44 49  0  0
 1  0    256 136152  60940 1032700    0    0     0   152 4603 1071  6 34 60  0  0
 1  0    256 136152  60940 1032708    0    0     0    56 12891 1323  9 61 30  0  0
 0  0    256 136152  60940 1032720    0    0     0     0 7375 1298  6 48 46  0  0
 0  0    256 136152  60940 1032732    0    0     0     0 9648 1200  5 43 52  0  0
 1  0    256 136152  60940 1032740    0    0     0     0 7229 1217  6 44 50  0  0
 1  0    256 136152  60948 1032756    0    0     0    28 12525 1219  3 58 39  0  0
 2  0    256 136152  60948 1032764    0    0     0    64 7764 1278  6 47 47  0  0
 1  0    256 136152  60948 1032776    0    0     0     0 11483 1303 11 50 39  0  0
 2  0    256 136152  60948 1032788    0    0     0     0 6350 1138  5 40 55  0  0
 1  0    256 136152  60948 1032800    0    0     0     0 10865 1211  8 51 41  0  0
 0  0    256 136152  60956 1032808    0    0     0    44 5688 1064  4 33 63  0  0
 1  0    256 136152  60956 1032820    0    0     0    56 7356 1229  8 37 55  0  0
 0  0    256 135912  60956 1032844    0    0     0     4 7187 1187  4 37 59  0  0
 0  0    256 135912  60956 1032856    0    0     0     0 6722 1210  5 41 54  0  0
 3  0    256 135912  60956 1032868    0    0     0     0 9483 1215  8 44 47  0  0
 0  0    256 135912  60964 1032876    0    0     0    28 7787 1208  4 45 51  0  0
 0  0    256 135912  60964 1032888    0    0     0    60 10173 1232  5 51 44  0  0
 3  0    256 135912  60964 1032900    0    0     0     0 6050 1214  5 40 55  0  0
 0  0    256 135912  60964 1032912    0    0     0     4 9418 1194  5 44 51  0  0
