 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 270388  88768  10576 509640    0    0     0     0  902  336  0 22 78  0  0
 0  0 270388  75632  10576 509640    0    0     0     0  553  490  2 15 83  0  0
 0  0 270388  72124  10576 509644    0    0     0     0  714  441  2 10 89  0  0
 2  0 270388  70248  10584 509636    0    0     0    16  395  328  0 19 81  0  0
 1  0 270388  72516  10584 509648    0    0     0     0  679  508  1 13 86  0  0
 0  0 271156  78416  10580 508384    0  872    48   872 1151 2388  6 24 70  0  0
 0  0 271156  73652  10580 508384    0    0     0     0  538  463  1 18 81  0  0
 0  0 271156  71924  10580 508388    0    0     0    36  566  312  1 12 87  0  0
 0  0 271156  72732  10588 508380    0    0     0   100  491  271  0  9 91  0  0
 0  0 271156  76512  10588 508392    0    0     0     0  826  414  2 12 86  0  0
 1  0 271156  70780  10612 508396    0    0     0   112  551  368  1 19 80  0  0
 0  0 271156  74944  10612 508396    0    0     0     0  517  289  0 17 83  0  0
 0  0 271156  73680  10612 508400    0    0     0   212  407  310  1 13 86  0  0
 1  0 271156  73920  10612 508400    0    0     0     0  490  312  0 11 89  0  0
 0  0 271156  73952  10612 508404    0    0     0     0  553  439  1 15 84  0  0
 1  0 271156  75512  10624 508392    0    0     0    60  443  334  0 18 82  1  0
 0  0 271156  75708  10624 508408    0    0     0     0  340  276  1  3 96  0  0
 0  0 271156  75028  10624 508408    0    0     0     4  306  274  0  4 96  0  0
 0  0 271156  75744  10624 508412    0    0     0     0  455  451  1 15 84  0  0
 0  0 271156  78812  10624 508412    0    0     0     0  384  278  0 12 88  0  0
 0  0 271156  75408  10632 508416    0    0     0    16  423  411  1 25 75  0  0
 0  0 271156  75356  10632 508416    0    0     0     0  350  308  0 13 87  0  0
 0  0 271156  71516  10632 508420    0    0     0     8  628  339  1 10 89  0  0
 0  0 271156  74060  10632 508420    0    0     0     0  442  352  0 19 81  0  0
 0  0 271156  77112  10632 508424    0    0     0     0  532  439  1 25 74  0  0
 1  0 271156  71504  10640 508416    0    0     0    48  682  409  0 21 79  0  0
 0  0 271156  78780  10640 508428    0    0     0     0  494  430  1 15 85  0  0
 1  0 271156  75948  10644 508424    0    0     4   216  578  434  1 10 90  0  0
 0  0 271156  76988  10644 508440    0    0     0     0  540  433  1 17 83  0  0
 0  0 271156  79724  10644 508440    0    0     0     0  486  593  3 18 79  0  0
 0  0 271156  75660  10652 508444    0    0     0    32  326  376  1  5 95  0  0
 0  0 271156  78000  10652 508448    0    0     0     0  492  429  1 12 87  0  0
 2  0 271156  75392  10652 508448    0    0     0     0  487  457  1 12 87  0  0
 0  0 271156  80732  10652 508452    0    0     0     0  479  476  0 16 84  0  0
 0  0 271156  81760  10652 508452    0    0     0     0  454  411  1 14 85  0  0
 1  0 271156  77256  10660 508448    0    0     0    16  672  567  0 16 84  0  0
 0  0 271156  76980  10660 508464    0    0     0     0  507  489  0 15 85  0  0
 1  0 271156  77980  10660 508464    0    0     0     0  673  517  1 27 72  0  0
 1  0 271156  77300  10660 508472    0    0     0   692  712  534  1 23 76  0  0
 0  0 271156  76748  10660 508476    4    0     4     0  748  719  1 45 55  0  0
 0  0 271156  76692  10668 508480    0    0     0    28  911  426  1 27 73  0  0
 1  0 271156  76384  10668 508480    0    0     0     0  791  492  1 21 79  0  0
 0  0 271156  77144  10668 508484    0    0     0     0  761  546  0 17 83  0  0
 1  0 271156  77868  10668 508488    0    0     0    84  793  479  1 25 74  0  0
 0  0 271156  76264  10668 508496    0    0     0     0  663  524  1 19 80  0  0
 0  0 271156  78088  10680 508484    0    0     0    36  734  510  0 25 75  0  0
 1  0 271156  75936  10680 508504    0    0     0     0  529  419  1 11 88  0  0
 1  0 271156  75988  10680 508504    0    0     0     0  565  436  0 22 78  0  0
 0  0 271156  75228  10680 508508    0    0     0    76  480  397  1 12 88  0  0
