 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16468  89784  36968 774892    0    0     0     0 1309  465  2 44 54  0  0
 1  0  16468  89784  36968 774896    0    0     0     0 1322  482  0 40 60  0  0
 1  0  16468  89784  36968 774900    0    0     0   172 1404  462  0 48 52  0  0
 2  0  16468  89784  36968 774908    0    0     0     0 1000  404  0 29 71  0  0
 5  0  16468  89784  36976 774912    0    0     0    28 1329  522  2 38 60  0  0
 2  0  16468  89784  36976 774916    0    0     0     0 1275  467  0 41 59  0  0
 0  0  16468  89784  36976 774924    0    0     0     0 1325  500  1 48 51  0  0
 0  0  16468  89784  36976 774928    0    0     0     4 1069  442  1 30 69  0  0
 3  0  16468  89784  36984 775228    0    0   108    48 1501  896  3 56 41  0  0
 0  0  16468  89784  36984 775236    0    0     0     0 1154  438  0 33 67  0  0
 0  0  16468  89784  36984 775240    0    0     0     0 1045  465  0 32 68  0  0
 2  0  16468  89784  36984 775248    0    0     0     0 1268  430  0 42 58  0  0
 0  0  16468  89784  36984 775252    0    0     0     0 1362  449  1 46 53  0  0
 3  0  16468  89784  36992 775256    0    0     0    56 1659  521  1 62 37  0  0
 3  0  16468  89784  36992 775260    0    0     0     0 1166  425  0 34 66  0  0
 0  0  16468  89784  36992 775268    0    0     0     0 1394  429  2 50 48  0  0
 0  0  16468  89784  36992 775276    0    0     0     0 1452  481  1 50 50  0  0
 1  0  16468  89784  36992 775280    0    0     0    48 1091  429  1 34 65  0  0
 1  0  16468  89784  37000 775284    0    0     0    16 1429  554  1 55 44  0  0
 0  0  16468  89784  37000 775288    0    0     0     0 1453  422  0 45 55  0  0
 1  0  16468  89784  37000 775296    0    0     0     0 1121  461  0 36 64  0  0
 1  0  16468  89784  37000 775300    0    0     0     0 1363  416  0 43 57  0  0
 0  0  16468  89784  37000 775304    0    0     0     0 1372  440  0 40 60  0  0
 0  0  16468  89784  37008 775316    0    0     0    28 1116  417  1 33 66  0  0
 1  0  16468  89784  37008 775320    0    0     0     0 1201  432  0 38 62  0  0
 3  0  16468  89784  37008 775324    0    0     0     0 1581  464  1 54 45  0  0
 0  0  16468  89784  37008 775332    0    0     0     0 1315  426  0 42 58  0  0
 0  0  16468  89784  37008 775336    0    0     0     0 1347  421  0 44 56  0  0
 2  0  16468  89784  37016 775340    0    0     0    16 1487  491  2 52 46  0  0
 2  0  16468  89784  37016 775344    0    0     0     0 1474  442  1 54 45  0  0
 1  0  16468  89784  37016 775352    0    0     0     0 1337  445  0 44 56  0  0
 0  0  16468  89784  37016 775356    0    0     0     0 1452  423  0 48 52  0  0
 0  0  16468  89784  37016 775360    0    0     0   168  780  431  0 18 82  0  0
 1  0  16468  89784  37024 775368    0    0     0    28 1118  439  0 36 64  0  0
 0  0  16468  89784  37024 775372    0    0     0     0 1355  465  2 42 56  0  0
 2  0  16468  89784  37024 775376    0    0     0     0 1507  441  0 52 48  0  0
 2  0  16468  89784  37024 775384    0    0     0     0 1165  436  0 43 57  0  0
 0  0  16468  89784  37024 775388    0    0     0     0 1256  449  1 36 63  0  0
 0  0  16468  89784  37032 775396    0    0     0    32 1290  471  1 38 61  0  0
 0  0  16468  89784  37032 775400    0    0     0     0 1156  412  0 40 60  0  0
 0  0  16468  89784  37032 775404    0    0     0     0 1149  453  0 41 59  0  0
 4  0  16468  89784  37032 775408    0    0     0     0 1274  431  1 43 56  0  0
 0  0  16468  89784  37032 775416    0    0     0     0 1268  451  1 43 56  0  0
 0  0  16468  89784  37040 775424    0    0     0   880 1398  477  0 43 57  0  0
 0  0  16468  89784  37040 775428    0    0     0     0 1441  478  1 42 57  0  0
 1  0  16468  89784  37040 775436    0    0     0     0 1214  429  1 40 59  0  0
 1  0  16468  89784  37040 775440    0    0     0     0 1404  462  1 48 51  0  0
 1  0  16468  89784  37040 775444    0    0     0     0 1236  401  0 35 65  0  0
 0  0  16468  89784  37048 775452    0    0     0    60  910  425  1 24 75  0  0
 0  0  16468  89784  37048 775456    0    0     0     0 1297  449  1 42 57  0  0
 0  0  16468  89784  37048 775464    0    0     0     0 1214  446  0 41 59  0  0
 1  0  16468  89784  37048 775468    0    0     0     0 1310  413  0 45 55  0  0
 2  0  16468  89784  37048 775472    0    0     0     0 1162  468  1 36 63  0  0
 1  0  16468  89784  37056 775480    0    0     0    16 1299  462  0 43 57  0  0
