"(PDH-CSV 4.0) (ora solare Europa occidentale)(-60)","\\CLAUDIO\Disco fisico(_Total)\% Tempo disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo inattività","\\CLAUDIO\Disco fisico(_Total)\% Tempo lettura disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo scrittura disco","\\CLAUDIO\Disco fisico(_Total)\Letture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Scritture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Suddivisione IO/sec","\\CLAUDIO\Disco fisico(_Total)\Trasferimenti disco/sec","\\CLAUDIO\Memoria\% Byte vincolati in uso","\\CLAUDIO\Memoria\Errore di richiesta nulla/sec","\\CLAUDIO\Memoria\Errori cache/sec","\\CLAUDIO\Memoria\Errori di pagina/sec","\\CLAUDIO\Memoria\Errori in transizione/sec","\\CLAUDIO\Memoria\Input pagine/sec","\\CLAUDIO\Memoria\Letture pagine/sec","\\CLAUDIO\Memoria\MByte disponibili","\\CLAUDIO\Memoria\Output pagine/sec","\\CLAUDIO\Memoria\Pagine/sec","\\CLAUDIO\Memoria\Scritture in copia/sec","\\CLAUDIO\Memoria\Scritture pagine/sec","\\CLAUDIO\Processore(_Total)\% Tempo di interrupt","\\CLAUDIO\Processore(_Total)\% Tempo DPC","\\CLAUDIO\Processore(_Total)\% Tempo inattività","\\CLAUDIO\Processore(_Total)\% Tempo privilegiato","\\CLAUDIO\Processore(_Total)\% Tempo processore","\\CLAUDIO\Processore(_Total)\% Tempo utente","\\CLAUDIO\Processore(_Total)\Interrupt/sec"
"11/29/2023 18:14:13.364","0.36501103886669705734","99.611095397084866931","0","0.36501103886669705734","0","12.031582905125954852","0","12.031582905125954852","69.691585905312464888","3754.8564983080586899","2315.0770773279859895","6867.0259431006388695","1400.6767765384133781","0","0","5609","0","0","0","0","0.29375146702773385909","0","0","2.2520912383213063102","100","97.32924499044808897","43730.793332497807569"
"11/29/2023 18:14:14.359","0.070365709830295580796","99.898846153034824624","0","0.070365709830295580796","0","2.0090713590001576527","0","2.0090713590001576527","69.692029564104046813","3619.3420532387840467","2324.4955623631822164","6722.3527672145273755","1383.2456306716085237","0","0","5618","0","0","0","0","0.098090100855508413624","0","0","2.1581128047209414689","100","97.900178731916483343","44349.245714248980221"
"11/29/2023 18:14:15.368","0.51873619234652790233","99.454635779210732949","0.0096820185294212955662","0.50905417381710660329","0.99101555210616076863","27.748435458972501522","0","28.739451011078664067","69.693697795666224692","3738.1106625444385827","2287.2638942610192316","6834.0432473240844047","1405.2600528865359593","0","0","5617","0","0","0","0","0.096780545504942042112","0.096780545504942042112","0","2.5162049936026336105","100","98.034926816525540971","44451.011574169737287"
"11/29/2023 18:14:16.355","0.6187873798757863586","99.311887430245263886","0.59151953943502455502","0.027267840440761834803","44.600071664206062394","7.0954659465782370376","0","51.695537610784299432","69.702340562292917525","4896.8851411313517019","2376.9810921037096705","8211.4813761757577595","1522.4842645372159495","121.63655908419835328","63.859193519204133338","5618","0","121.63655908419835328","0","0","0.098995438566721202789","0.098985301823062948889","0","1.4848707580388686988","100","98.100718887723502348","44188.534639304525626"
"11/29/2023 18:14:17.369","0.13670608743469675472","99.839812654869291464","0","0.13670608743469675472","0","2.9584911852741297977","0","2.9584911852741297977","69.700512632192229034","3737.5605307296505089","2277.0520489326554525","6888.3536430465992453","1467.4116278959684223","0","0","5617","0","0","0","0","0","0","0","0.57784998464497339121","100","99.582386670140692786","44221.553910020840704"
"11/29/2023 18:14:18.369","0.22327671783224789515","99.753853618351811861","0","0.22327671783224789515","0","11.999260845531916075","0","11.999260845531916075","69.700477125519071819","3844.7631625891845033","2307.8578359573048147","6945.5721527553905617","1394.9140732930852664","0","0","5616","0","0","0","0","0.39061425797040782992","0.097658564419103047194","0","3.2226026277413719612","100","97.068883087418612376","43754.304734828336223"
"11/29/2023 18:14:19.368","0.070942420686253615525","99.894361723307554257","0","0.070942420686253615525","0","2.0010251251716253407","0","2.0010251251716253407","69.699944734969164983","3722.9072453818093891","2314.1855572609847513","6812.4900386467988938","1377.705798680664202","0","0","5616","0","0","0","0","0.097704651025518673979","0.29310394850446652715","0","1.8563183374802283421","100","97.700899310985121815","44209.648602979308635"
"11/29/2023 18:14:20.366","0.33462905733724007673","99.614489209725917362","0.013987967542304082305","0.32064108979493599616","1.0020524037333264911","18.036943267199877283","0","19.038995670933203996","69.697211699024123277","3793.7704005343744029","2317.7472098351840941","6906.1451665300864988","1400.8692604191905957","0","0","5616","0","0","0","0","0.19570128514952797594","0.097845632557735928714","0","2.5441467670460315986","100","97.656193793871466369","44014.149781582636933"
"11/29/2023 18:14:21.366","0.068679979396006188286","99.909470027158988614","0","0.068679979396006188286","0","1.9998734080132725133","0","1.9998734080132725133","69.695561209157006033","4017.7456766986647381","2308.8538495513230373","7137.5481931993699618","1411.9106260573703366","0","0","5616","0","0","0","0","0.097659970702008797039","0.29296991210902634251","0","1.7578194726541582771","100","98.43747046875886042","44500.183138407337538"
"11/29/2023 18:14:22.366","1.324944439653369832","98.643711261077299923","1.1043938244627198308","0.22055061519064997344","88.044004393395823627","5.002500249624763029","0","93.046504643020583103","69.708268057952693653","5185.5917587610292685","2369.1841182222874522","8935.4659458797505067","1940.9700968544079842","463.23152311525302594","90.045004493245727417","5616","0","463.23152311525302594","0","0","0.097694568262041148188","0.39080828674041095949","0","3.2241208439290005572","100","96.528416263499408956","45286.634259803053283"
