 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1292  79980  30028 863848    0    0     0     0  641  469  1 28 71  0  0
 0  0   1292  78740  30028 863852    0    0     0     0  629  466  1 32 68  0  0
 0  0   1292  77652  30028 863856    0    0     0     0  721  432  0 35 65  0  0
 0  0   1292  83636  30036 863860    0    0     0    36  619  517  1 38 62  0  0
 0  0   1292  82412  30036 863864    0    0     0    40 1047  431  0 34 66  0  0
 1  0   1292  75588  30036 863868    0    0     0     0  603  441  0 23 77  0  0
 0  0   1292  77304  30036 863872    0    0     0     0  793  407  1 34 66  0  0
 0  0   1292  88060  30032 860836    0   16     0    16  519  404  1 24 75  0  0
 1  0   1292  94312  30040 860840    0    0     0    28  689  516  1 45 54  1  0
 0  0   1292  82496  30040 860844    0    0     0    28  750  432  1 28 71  0  0
 0  0   1292  82160  30040 860848    0    0     0     0  773  425  1 31 68  0  0
 0  0   1292  83352  30040 860852    0    0     0     0  612  430  1 21 78  0  0
 3  0   1292  78792  30040 860856    0    0     0     0 4658  469  1 35 64  0  0
 1  0   1292  78792  30040 860856    0    0     0     0 24243  298  0 50 50  0  0
 9  0   1292  70192  30044 858172    0   16     0    72 24866  353  0 51 49  0  0
 1  0   2060 235824  23096 637524    0  896  1096   896 15654  657  1 63 36  0  0
 1  0   2060 235824  23100 637524    0    0     4     0 24336  293  0 50 50  0  0
 2  0   2060 235824  23100 637524    0    0     0     0 24277  279  0 50 50  0  0
 2  0   2060 235824  23100 637524    0    0     0     0 24113  289  0 50 50  0  0
 1  0   2060 233424  23100 637488    0    0     0     0 24110  293  0 51 50  0  0
 2  0   2060 272196  23108 637568    0    0    76    48 1537  926  0 52 48  0  0
 3  0   2060 278772  23108 637576    0    0     0     0  812  951  0 53 47  0  0
 1  0   2060 309160  23108 637580    0    0     0     0  773  877  1 53 46  0  0
 0  0   2060 301284  23108 637584    0    0     0     0  964  738  1 41 59  0  0
 5  0   2060 297232  23124 641092    0    0  3441    44  824 1942  3 20 77  0  0
 2  0   2060 309688  23140 643160    0    0  1840   364 14140 3133 15 55 30  0  0
 2  0   2060 309880  23140 643160    0    0     0     0 23761  342  0 50 50  0  0
 3  0   2060 309880  23140 643160    0    0     0     0 24373  349  0 50 50  0  0
 4  0   2060 309656  23168 643276    0    0   116   288 25229  393  1 51 49  0  0
 5  0   2060 310216  23192 643276    0    0    12    44 24082  379  1 50 50  0  0
 3  0   2060 310216  23192 643596    0    0   324     0 22567  396  0 51 49  0  0
 3  0   2060 310248  23192 643596    0    0     0     0 23131  312  0 51 50  0  0
 1  0   2060 293680  23192 643540   12    0   160     0 3752 2781  2 52 46  0  0
 1  0   2060 295976  23192 643540    0    0     0     0  924 1131  0 52 47  0  0
 1  0   2060 300996  23200 643548    0    0     0    60  905 1135  1 53 47  0  0
 0  0   2060 314920  23200 643556    0    0     0     0  788  977  1 47 52  0  0
 3  0   2060 314544  23200 643556    0    0     0     0  482  378  0 12 88  0  0
 1  0   2060 311176  23200 643560    0    0     0     0  841  613  0 28 72  0  0
 0  0   2060 313852  23200 643568    0    0     0     0  819  850  1 40 59  0  0
 1  0   2060 310704  23208 643572    0    0     0    16  426  364  0 14 86  0  0
 1  0   2060 312468  23208 643576    0    0     0     0  733  653  0 30 70  0  0
 0  0   2060 313484  23208 643580    0    0     0     0  620  615  0 28 72  0  0
 1  0   2060 311244  23208 643584    0    0     0     0  459  339  1 13 86  0  0
 2  0   2060 311032  23208 643588    0    0     0     0  699  497  0 17 83  0  0
 0  0   2060 312452  23216 643596    0    0     0    16  789  879  1 46 54  0  0
 1  0   2060 311392  23216 643596    0    0     0     0  515  362  0 18 82  0  0
 1  0   2060 308224  23216 643600    0    0     0     0  720  598  0 28 72  0  0
 0  0   2060 312884  23216 643608    0    0     0     0  702  695  1 42 58  0  0
 1  0   2060 308848  23216 643608    0    0     0     0  297  274  0  7 93  0  0
 0  0   2060 312372  23224 643612    0    0     0    16  813  825  1 33 67  0  0
 1  0   2060 294944  23224 643616    0    0     0     0  707  796  1 47 53  0  0
 1  0   2060 296784  23224 643624    0    0     0     0  858  997  0 53 47  0  0
 0  0   2060 313676  23224 643624    0    0     0     0  396  479  0 21 79  0  0
 0  0   2060 313676  23224 643624    0    0     0     0   52   92  0  0 100  0  0
 0  0   2060 313676  23232 643624    0    0     0    16   77  115  1  0 99  0  0
